Linux 4.15.0-121-generic (node1.pango-4.cloudslostore-pg0.utah.cloudlab.us) 	11/30/2020 	_x86_64_	(20 CPU)

12:40:52 AM   UID       PID   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:44:25 AM 20001      7331      0.00  19284.00      0.00       0  mongod
12:44:26 AM 20001      7331      0.00  19768.00      0.00       0  mongod
12:44:27 AM 20001      7331      0.00  18648.00      0.00       0  mongod
12:44:28 AM 20001      7331      0.00  19568.00      0.00       0  mongod
12:44:29 AM 20001      7331      0.00  19744.00      0.00       0  mongod
12:44:30 AM 20001      7331      0.00  19616.00     24.00       0  mongod
12:44:31 AM 20001      7331      0.00  19168.00      0.00       0  mongod
12:44:32 AM 20001      7331      0.00 139628.00      0.00       0  mongod
12:44:33 AM 20001      7331      0.00  18964.00      0.00       0  mongod
12:44:34 AM 20001      7331      0.00  19376.00      0.00       0  mongod
12:44:35 AM 20001      7331      0.00  19704.00      0.00       0  mongod
12:44:36 AM 20001      7331      0.00  58364.00      0.00       0  mongod
12:44:37 AM 20001      7331      0.00  27212.00      0.00       0  mongod
12:44:38 AM 20001      7331      0.00  20032.00      0.00       0  mongod
12:44:39 AM 20001      7331      0.00  94584.00      0.00       0  mongod
12:44:40 AM 20001      7331      0.00  19328.00      0.00       0  mongod
12:44:41 AM 20001      7331      0.00  17792.00      0.00       0  mongod
12:44:42 AM 20001      7331      0.00 105144.00      0.00       0  mongod
12:44:43 AM 20001      7331      0.00  15844.00      0.00       0  mongod
12:44:44 AM 20001      7331      0.00  20280.00      0.00       0  mongod
12:44:45 AM 20001      7331      0.00  19052.00      0.00       0  mongod
12:44:46 AM 20001      7331      0.00  20008.00      0.00       0  mongod
12:44:47 AM 20001      7331      0.00 133296.00      0.00       0  mongod
12:44:48 AM 20001      7331      0.00  19372.00      0.00       0  mongod
12:44:49 AM 20001      7331      0.00  19924.00      0.00       0  mongod
12:44:50 AM 20001      7331      0.00  18376.00      0.00       0  mongod
12:44:51 AM 20001      7331      0.00 211204.00      0.00       0  mongod
12:44:52 AM 20001      7331      0.00  19052.00      0.00       0  mongod
12:44:53 AM 20001      7331      0.00  20124.00      0.00       0  mongod
12:44:54 AM 20001      7331      0.00  20280.00      0.00       0  mongod
12:44:55 AM 20001      7331      0.00  18476.00      0.00       0  mongod
12:44:56 AM 20001      7331      0.00  19776.00      0.00       0  mongod
12:44:57 AM 20001      7331      0.00  19780.00      0.00       0  mongod
12:44:58 AM 20001      7331      0.00 120128.00      0.00       0  mongod
12:44:59 AM 20001      7331      0.00    112.00      0.00       0  mongod
12:45:00 AM 20001      7331      0.00  19068.00      0.00       0  mongod
12:45:01 AM 20001      7331      0.00  18940.00      0.00       0  mongod
12:45:02 AM 20001      7331      0.00  19880.00      0.00       0  mongod
12:45:03 AM 20001      7331      0.00  44000.00      0.00       0  mongod
12:45:04 AM 20001      7331      0.00 240476.00      0.00       0  mongod
12:45:05 AM 20001      7331      0.00  19896.00      0.00       0  mongod
12:45:06 AM 20001      7331      0.00  18148.00      0.00       0  mongod
12:45:07 AM 20001      7331      0.00  19476.00      0.00       0  mongod
12:45:08 AM 20001      7331      0.00  19672.00      0.00       0  mongod
12:45:09 AM 20001      7331      0.00  37616.00      0.00       0  mongod
12:45:10 AM 20001      7331      0.00 145088.00      0.00       0  mongod
12:45:11 AM 20001      7331      0.00 309872.00      0.00       0  mongod
12:45:12 AM 20001      7331      0.00    308.00      0.00       0  mongod
12:45:13 AM 20001      7331      0.00    216.00      0.00       0  mongod
12:45:14 AM 20001      7331      0.00   1972.00      0.00       0  mongod
12:45:15 AM 20001      7331      0.00  20260.00      0.00       0  mongod
12:45:16 AM 20001      7331      0.00  20516.00      0.00       0  mongod
12:45:17 AM 20001      7331      0.00  30424.00      0.00       0  mongod
12:45:18 AM 20001      7331      0.00  19196.00      0.00       0  mongod
12:45:19 AM 20001      7331      0.00  19800.00      0.00       0  mongod
12:45:20 AM 20001      7331      0.00  19512.00      0.00       0  mongod
12:45:21 AM 20001      7331      0.00  19600.00      0.00       0  mongod
12:45:22 AM 20001      7331      0.00  30048.00      0.00       0  mongod
12:45:23 AM 20001      7331      0.00  97840.00      0.00       0  mongod
12:45:24 AM 20001      7331      0.00  19612.00      0.00       0  mongod
12:45:25 AM 20001      7331      0.00  20096.00      0.00       0  mongod
12:45:26 AM 20001      7331      0.00  18756.00      0.00       0  mongod
12:45:27 AM 20001      7331      0.00 111308.00      0.00       0  mongod
12:45:28 AM 20001      7331      0.00  19908.00      0.00       0  mongod
12:45:29 AM 20001      7331      0.00  18712.00      0.00       0  mongod
12:45:30 AM 20001      7331      0.00  19864.00      0.00       0  mongod
12:45:31 AM 20001      7331      0.00  19864.00      0.00       0  mongod
12:45:32 AM 20001      7331      0.00  33164.00      0.00       0  mongod
12:45:33 AM 20001      7331      0.00  85544.00      0.00       0  mongod
12:45:34 AM 20001      7331      0.00  18528.00      0.00       0  mongod
12:45:35 AM 20001      7331      0.00  19704.00     24.00       0  mongod
12:45:36 AM 20001      7331      0.00 159720.00      0.00       0  mongod
12:45:37 AM 20001      7331      0.00 156656.00      0.00       0  mongod
12:45:38 AM 20001      7331      0.00  19808.00      0.00       0  mongod
12:45:39 AM 20001      7331      0.00  19340.00      0.00       0  mongod
12:45:40 AM 20001      7331      0.00  18180.00      0.00       0  mongod
12:45:41 AM 20001      7331      0.00  19384.00      0.00       0  mongod
12:45:42 AM 20001      7331      0.00  19072.00      0.00       0  mongod
12:45:43 AM 20001      7331      0.00  19016.00      0.00       0  mongod
12:45:44 AM 20001      7331      0.00  19344.00      0.00       0  mongod
12:45:45 AM 20001      7331      0.00  19484.00      0.00       0  mongod
12:45:46 AM 20001      7331      0.00  18460.00      0.00       0  mongod
12:45:47 AM 20001      7331      0.00  19004.00      0.00       0  mongod
12:45:48 AM 20001      7331      0.00  19296.00      0.00       0  mongod
12:45:49 AM 20001      7331      0.00   9044.00      0.00       0  mongod
